id,name,branch,website,email,description
"sos","Secretary of State for Defence","b_strat","GOV.UK","","Political head of the MOD; owns SDR 2025 and the direction the whole system follows."
"reform","Defence Reform (four-pillar model)","b_strat","","","Re-aligned the MOD into Department of State, Military Strategic HQ, the NAD Group and the Defence Nuclear Enterprise."
"sdr","Strategic Defence Review 2025","b_strat","","","The root strategy — sets the threat picture, force design and the push for novel tech and faster procurement."
"dis","Defence Industrial Strategy 2025","b_strat","","","‘Making defence an engine for growth’ — industrial, SME, exports, skills and clusters agenda."
"mshq","Military Strategic HQ","b_strat","","","CDS-led; owns military strategy and the capability requirement that pulls innovation through."
"dcdc","Development, Concepts & Doctrine Centre (DCDC)","b_strat","","","MOD's think tank — future concepts, doctrine and the Global Strategic Trends horizon-scan."
"headoffice","MOD Head Office","b_strat","","","Department of State — policy, finance and corporate direction."
"nad","National Armaments Director & NAD Group","b_acq","","","Single accountable owner of end-to-end acquisition (~£20bn+/yr); delivers the DIS and Defence Investment Plan."
"des","Defence Equipment & Support (DE&S)","b_acq","des.mod.uk","","MOD's main procurement & support arm (700+ programmes) across ships, land, air and weapons."
"fcg","DE&S Future Capability Group (FCG)","b_acq","","","Robotics, autonomy and rapid capability; a core member of the Defence AI Centre federation."
"ddig","Defence Digital","b_acq","","","MOD's digital backbone, networks, data and enterprise IT; sets digital standards for adoption."
"foundry","Defence Digital Foundry","b_acq","","","Builds software-intensive capability (AI, data, automation); hosts part of the DAIC."
"dio","Defence Infrastructure Organisation (DIO)","b_acq","GOV.UK","","Manages the estate, ranges and infrastructure used for trials and experimentation."
"commercial","Defence Commercial / Sourcing Portal","b_acq","","","MOD's commercial function and the portal where contracts and tenders are advertised."
"ssro","Single Source Regulations Office (SSRO)","b_acq","ssro.gov.uk","","Regulates non-competitive contracts >£5m; sets the Baseline Profit Rate (9.10% for 2026/27)."
"ccs","Crown Commercial Service (CCS)","b_acq","crowncommercial.gov.uk","","Cross-government commercial agreements used for common goods and services, incl. defence."
"dstl","Dstl","b_sti","dstl.gov.uk","centralenquiries@dstl.gov.uk","MOD's in-house S&T authority — research, experimentation and technical assurance. Parent of DASA."
"ukdi","UK Defence Innovation (UKDI)","b_sti","GOV.UK","","Consolidated innovation body (£400m/yr; £1.6bn in the DIP); runs Open Call, Themed and Loan competitions."
"dasa","Defence & Security Accelerator (DASA)","b_sti","GOV.UK","accelerator@dstl.gov.uk","Finds and funds exploitable innovation fast; the established SME competition route. Became part of UKDI in February 2026 and continues to run its competitions."
"diu","Defence Innovation Unit (DIU)","b_sti","","","Former standalone innovation unit, now consolidated into UKDI; brokered defence problems to commercial solutions."
"daic","Defence AI Centre (DAIC)","b_sti","","","Champions, enables and scales AI across defence — a federation of Defence Digital, Dstl and DE&S FCG."
"battlelab","Defence BattleLab","b_sti","","","Open collaboration hub for MOD, SMEs and academia; an affiliated NATO DIANA test centre."
"ploughshare","Ploughshare Innovations","b_sti","ploughshareinnovations.com","","Dstl's technology-transfer company — spins MOD IP out into commercial and dual-use ventures."
"nstix","NSTIx","b_sti","","","National Security Technology & Innovation Exchange — connects national-security S&T across government."
"serapis","Serapis / R-Cloud frameworks","b_sti","","","Agile research frameworks that give industry and academia a fast route to Dstl-funded work."
"csoc","Cyber & Specialist Operations Command (CSOC)","b_flc","","","Formerly Strategic Command; integrates joint enablers, cyber, digital and specialist ops."
"jhub","jHub","b_flc","","","CSOC's central innovation hub — brokers mature dual-use tech into defence quickly."
"navy","Royal Navy — Navy Command","b_flc","","","Sets maritime requirements; end-user for autonomy and AI at sea."
"dcto","DCTO (Disruptive Capabilities & Technologies Office)","b_flc","","","Royal Navy's rapid prototype-test-deploy unit; merges NavyX, the Navy CTO office and AI Cell."
"nelson","NELSON","b_flc","","","Royal Navy's digital & data service delivering software to the fleet."
"army","Army — Field Army / Army Futures","b_flc","","","Sets land requirements; drives the ‘ten-times more lethal’ Army vision."
"lwc","Land Warfare Centre","b_flc","","","Runs the Army Warfighting Experiment and land capability development."
"etg","Experimentation & Trials Group (ETG)","b_flc","army.mod.uk","","The Field Army's experimentation and trials organisation; commands the Army's Trials & Development Units (including the former ATDU at Bovington) and an Experimentation Battalion to trial and develop new capability under Future Soldier."
"air","RAF — Air Command","b_flc","","","Sets air & space requirements; end-user for combat air and uncrewed systems."
"rafrco","RAF Rapid Capabilities Office (RCO)","b_flc","","","Fast, often classified delivery of urgent air & space capability outside the standard cycle."
"astra","RAF ASTRA","b_flc","","","The RAF's transformation programme building the ‘next-generation air force’."
"di","Defence Intelligence (DI)","b_ics","","","MOD's intelligence organisation; a customer for data, ISR and analytics."
"ncf","National Cyber Force (NCF)","b_ics","","","Joint MOD–GCHQ offensive cyber command; a significant deep-tech customer."
"ncsc","National Cyber Security Centre (NCSC)","b_ics","ncsc.gov.uk","","National technical authority for cyber security; runs startup/accelerator routes."
"gchq","GCHQ","b_ics","","","Signals intelligence and cyber; sponsors dual-use tech and SMEs. Parent of NCSC."
"npsa","National Protective Security Authority (NPSA)","b_ics","npsa.gov.uk","","National technical authority for protective security (part of MI5); dual-use overlap."
"spacecmd","UK Space Command","b_ics","spacecommand.mod.uk","","Military space operations & capability; customer for space domain awareness and resilient comms."
"spaceagency","UK Space Agency","b_ics","GOV.UK","","Civil space programme and funding; dual-use partner for defence space."
"nspoc","National Space Operations Centre (NSpOC)","b_ics","","","Joint civil-military centre for space domain awareness and operations."
"dno","Defence Nuclear Organisation (DNO)","b_nuke","","","Sets policy and sponsors the deterrent and naval nuclear propulsion; oversees the enterprise."
